Modality,Dataset type,Method/workflow,Dataset size,Size unit,Step,Runs,Median time (s),Q1 time (s),Q3 time (s)
scRNA-seq,Real retinal,core,2500,cells,create_seurat_and_qc_metrics,5,0.909,0.9,0.916
scRNA-seq,Real retinal,core,2500,cells,find_clusters,5,0.107,0.107,0.108
scRNA-seq,Real retinal,core,2500,cells,find_neighbors,5,0.602,0.6,0.605
scRNA-seq,Real retinal,core,2500,cells,find_variable_features,5,1.189,1.185,1.193
scRNA-seq,Real retinal,core,2500,cells,normalize_lognormalize,5,0.663,0.652,0.693
scRNA-seq,Real retinal,core,2500,cells,pca,5,2.074,2.055,2.107
scRNA-seq,Real retinal,core,2500,cells,scale_data,5,0.343,0.326,0.344
scRNA-seq,Real retinal,core,2500,cells,umap,5,3.401,3.385,3.413
scRNA-seq,Real retinal,core,5000,cells,create_seurat_and_qc_metrics,5,1.419,1.398,1.436
scRNA-seq,Real retinal,core,5000,cells,find_clusters,5,0.285,0.284,0.287
scRNA-seq,Real retinal,core,5000,cells,find_neighbors,5,1.149,1.14,1.156
scRNA-seq,Real retinal,core,5000,cells,find_variable_features,5,1.551,1.526,1.561
scRNA-seq,Real retinal,core,5000,cells,normalize_lognormalize,5,0.964,0.957,0.988
scRNA-seq,Real retinal,core,5000,cells,pca,5,3.676,3.671,3.685
scRNA-seq,Real retinal,core,5000,cells,scale_data,5,0.316,0.313,0.338
scRNA-seq,Real retinal,core,5000,cells,umap,5,6.165,6.144,6.182
scRNA-seq,Real retinal,core,7500,cells,create_seurat_and_qc_metrics,5,1.735,1.721,1.74
scRNA-seq,Real retinal,core,7500,cells,find_clusters,5,0.52,0.51,0.522
scRNA-seq,Real retinal,core,7500,cells,find_neighbors,5,1.706,1.705,1.711
scRNA-seq,Real retinal,core,7500,cells,find_variable_features,5,1.89,1.884,1.899
scRNA-seq,Real retinal,core,7500,cells,normalize_lognormalize,5,1.269,1.267,1.284
scRNA-seq,Real retinal,core,7500,cells,pca,5,4.678,4.659,4.728
scRNA-seq,Real retinal,core,7500,cells,scale_data,5,0.476,0.465,0.483
scRNA-seq,Real retinal,core,7500,cells,umap,5,8.947,8.932,8.972
scRNA-seq,Real retinal,core,10000,cells,create_seurat_and_qc_metrics,5,2.033,2.028,2.059
scRNA-seq,Real retinal,core,10000,cells,find_clusters,5,0.847,0.827,0.851
scRNA-seq,Real retinal,core,10000,cells,find_neighbors,5,2.294,2.29,2.298
scRNA-seq,Real retinal,core,10000,cells,find_variable_features,5,2.242,2.224,2.25
scRNA-seq,Real retinal,core,10000,cells,normalize_lognormalize,5,1.546,1.545,1.556
scRNA-seq,Real retinal,core,10000,cells,pca,5,6.371,6.341,6.412
scRNA-seq,Real retinal,core,10000,cells,scale_data,5,0.627,0.626,0.638
scRNA-seq,Real retinal,core,10000,cells,umap,5,12.688,12.662,12.701
scRNA-seq,Real retinal,core,10430,cells,create_seurat_and_qc_metrics,5,2.065,2.064,2.07
scRNA-seq,Real retinal,core,10430,cells,find_clusters,5,0.898,0.898,0.9
scRNA-seq,Real retinal,core,10430,cells,find_neighbors,5,2.414,2.409,2.416
scRNA-seq,Real retinal,core,10430,cells,find_variable_features,5,2.291,2.284,2.325
scRNA-seq,Real retinal,core,10430,cells,normalize_lognormalize,5,1.592,1.576,1.632
scRNA-seq,Real retinal,core,10430,cells,pca,5,6.342,6.311,6.383
scRNA-seq,Real retinal,core,10430,cells,scale_data,5,0.663,0.662,0.667
scRNA-seq,Real retinal,core,10430,cells,umap,5,8.106,8.104,8.119
scRNA-seq,Real retinal,markers,2500,cells,find_all_markers_inferred_clusters,5,4.835,4.832,4.879
scRNA-seq,Real retinal,markers,5000,cells,find_all_markers_inferred_clusters,5,8.881,8.831,8.896
scRNA-seq,Real retinal,markers,7500,cells,find_all_markers_inferred_clusters,5,13.39,13.365,13.409
scRNA-seq,Real retinal,markers,10000,cells,find_all_markers_inferred_clusters,5,17.007,16.996,17.035
scRNA-seq,Real retinal,markers,10430,cells,find_all_markers_inferred_clusters,5,20.728,20.696,20.834
scRNA-seq,Synthetic,core,2500,cells,create_seurat_and_qc_metrics,5,0.271,0.27,0.326
scRNA-seq,Synthetic,core,2500,cells,find_clusters,5,0.186,0.186,0.191
scRNA-seq,Synthetic,core,2500,cells,find_neighbors,5,0.565,0.562,0.605
scRNA-seq,Synthetic,core,2500,cells,find_variable_features,5,1.027,1.004,1.095
scRNA-seq,Synthetic,core,2500,cells,normalize_lognormalize,5,0.208,0.205,0.223
scRNA-seq,Synthetic,core,2500,cells,pca,5,5.247,5.201,5.491
scRNA-seq,Synthetic,core,2500,cells,scale_data,5,0.409,0.404,0.482
scRNA-seq,Synthetic,core,2500,cells,umap,5,3.144,3.03,3.306
scRNA-seq,Synthetic,core,5000,cells,create_seurat_and_qc_metrics,5,0.478,0.475,0.478
scRNA-seq,Synthetic,core,5000,cells,find_clusters,5,0.402,0.398,0.402
scRNA-seq,Synthetic,core,5000,cells,find_neighbors,5,1.081,1.077,1.083
scRNA-seq,Synthetic,core,5000,cells,find_variable_features,5,1.039,1.037,1.04
scRNA-seq,Synthetic,core,5000,cells,normalize_lognormalize,5,0.246,0.244,0.248
scRNA-seq,Synthetic,core,5000,cells,pca,5,12.652,12.646,12.661
scRNA-seq,Synthetic,core,5000,cells,scale_data,5,0.514,0.512,0.516
scRNA-seq,Synthetic,core,5000,cells,umap,5,5.621,5.619,5.622
scRNA-seq,Synthetic,core,10000,cells,create_seurat_and_qc_metrics,5,0.599,0.599,0.599
scRNA-seq,Synthetic,core,10000,cells,find_clusters,5,0.624,0.624,0.627
scRNA-seq,Synthetic,core,10000,cells,find_neighbors,5,2.195,2.192,2.196
scRNA-seq,Synthetic,core,10000,cells,find_variable_features,5,1.106,1.102,1.108
scRNA-seq,Synthetic,core,10000,cells,normalize_lognormalize,5,0.326,0.323,0.327
scRNA-seq,Synthetic,core,10000,cells,pca,5,24.701,24.674,24.773
scRNA-seq,Synthetic,core,10000,cells,scale_data,5,0.704,0.703,0.709
scRNA-seq,Synthetic,core,10000,cells,umap,5,10.972,10.94,11.001
scRNA-seq,Synthetic,core,25000,cells,create_seurat_and_qc_metrics,5,1.317,1.316,1.317
scRNA-seq,Synthetic,core,25000,cells,find_clusters,5,3.666,3.64,3.682
scRNA-seq,Synthetic,core,25000,cells,find_neighbors,5,5.748,5.741,5.753
scRNA-seq,Synthetic,core,25000,cells,find_variable_features,5,1.385,1.378,1.395
scRNA-seq,Synthetic,core,25000,cells,normalize_lognormalize,5,0.776,0.775,0.782
