"category","step","elapsed_seconds"
"core","create_seurat_and_qc_metrics",1.419
"core","normalize_lognormalize",0.964
"core","find_variable_features",1.551
"core","scale_data",0.312000000000001
"core","pca",3.685
"core","umap",6.144
"core","find_neighbors",1.14
"core","find_clusters",0.274999999999999
"markers","find_all_markers_inferred_clusters",8.831
