"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.09537399624243e-160,3.57448442340584,0.997,0.127,7.5899566272361e-156,"0","Aqp4"
1.74835263126995e-159,3.48549224626449,1,0.163,3.2402219315326e-155,"0","Rlbp1"
1.02114362496679e-158,3.49762897066982,1,0.364,1.89248548015096e-154,"0","Glul"
3.60144864902476e-154,3.47002133404976,0.994,0.126,6.67456478123759e-150,"0","Abca8a"
5.40351918652651e-150,2.85709412329763,0.999,0.39,1.00143421083896e-145,"0","Acsl3"
7.81946763478309e-150,3.34119591445832,0.982,0.123,1.44918193675435e-145,"0","Car14"
1.01743262127979e-149,3.25980704197998,0.994,0.14,1.88560787701783e-145,"0","Slc1a3"
1.5728001671049e-149,3.28054825611035,0.999,0.136,2.91487054969551e-145,"0","Espn"
6.98488681771152e-148,3.13551791399825,1,0.17,1.29450907392648e-143,"0","Cd9"
5.29846527275414e-146,3.54941377856064,0.964,0.113,9.81964568999526e-142,"0","Spc25"
3.60496657082035e-143,2.87927449718565,0.998,0.136,6.68108454570135e-139,"0","Crym"
3.79697500516723e-142,3.19131654013577,0.986,0.161,7.03693377707643e-138,"0","Kdr"
5.08619381142055e-142,2.73245108230474,1,0.234,9.42624299070571e-138,"0","Dkk3"
6.78470920744514e-142,3.02555334633184,0.999,0.164,1.25741015741581e-137,"0","Fxyd1"
9.92521458124487e-140,3.01434778103086,0.98,0.157,1.83944001834211e-135,"0","Gpr37"
3.42400288993025e-138,3.12527737048339,0.971,0.151,6.34570455590773e-134,"0","Cox4i2"
6.40576692459079e-138,2.27478135260271,0.996,0.216,1.18718078413441e-133,"0","Cryab"
1.33420710856491e-137,3.33410077386534,0.959,0.138,2.47268603430336e-133,"0","Pon2"
2.27778228046047e-137,3.3249804509324,0.967,0.171,4.22141390037738e-133,"0","Hes1"
6.3107365805966e-137,1.92090401248184,1,0.728,1.16956881048197e-132,"0","Rtn4"
4.12193110489363e-136,2.96095056045981,0.964,0.151,7.63917491669936e-132,"0","Ndrg2"
4.58748059548652e-136,2.55863251274831,1,0.277,8.50197778761517e-132,"0","Prdx6"
9.2290073399092e-135,2.90605764176652,0.988,0.151,1.71041193030537e-130,"0","Plpp3"
1.88130451293658e-134,2.77586648342951,1,0.376,3.48662165382537e-130,"0","Clu"
2.98539715556098e-134,2.97848222833037,0.974,0.155,5.53283654840117e-130,"0","Spon1"
3.89257349943546e-134,2.90925626707725,0.941,0.141,7.21410646650374e-130,"0","Plaat3"
1.52249798501317e-133,2.54179698744986,0.994,0.281,2.8216455156249e-129,"0","Ogfrl1"
1.59671010967039e-133,2.42417864289732,0.997,0.296,2.95918284625214e-129,"0","Gpm6b"
9.11863007042751e-133,2.44247056400433,0.999,0.341,1.68995571095233e-128,"0","Gnai2"
9.37966046146553e-133,2.69565946735493,0.964,0.152,1.73833247332341e-128,"0","S100a16"
2.62324282168258e-132,2.74839595457002,1,0.393,4.86165592142433e-128,"0","Apoe"
8.84239319548362e-132,2.57099351534618,0.995,0.161,1.63876073091898e-127,"0","Cp"
6.98241144427059e-131,3.0279011863856,0.912,0.107,1.29405031296667e-126,"0","Il33"
3.44207184814808e-130,2.41121234878109,0.989,0.292,6.37919175617284e-126,"0","Nudt4"
4.22821740592291e-130,2.85084659842159,0.944,0.149,7.83615531839693e-126,"0","Ccn1"
5.08814800043054e-130,3.11631947379734,0.92,0.119,9.42986468919793e-126,"0","Lhx2"
5.17385518589604e-130,3.06026969629667,0.938,0.123,9.58870581602114e-126,"0","Pdpn"
4.53270758665944e-129,2.34340414117988,0.989,0.191,8.40046697035595e-125,"0","Ptn"
1.01469994413237e-128,2.6401436120726,0.971,0.337,1.88054340646052e-124,"0","Ier2"
1.41333227622093e-128,2.89593120916954,0.947,0.157,2.61932870752025e-124,"0","Zfp36l1"
6.89005978605967e-128,2.62138117955246,0.974,0.2,1.27693478015044e-123,"0","Cebpd"
9.14810489058219e-128,2.42997464363186,0.985,0.145,1.6954182793716e-123,"0","Dapl1"
1.10227877300573e-127,2.54536761559848,0.988,0.41,2.04285325001151e-123,"0","Jun"
1.35745666310054e-127,2.41246649948422,1,0.396,2.51577443372423e-123,"0","Dbi"
4.69175210782333e-127,2.53414560946555,0.966,0.188,8.69522418142899e-123,"0","S100a1"
4.69319173056852e-126,2.48048160315953,0.987,0.214,8.69789223426264e-122,"0","Trpm3"
2.19407788756126e-125,2.88935375044231,0.929,0.117,4.06628454901728e-121,"0","Mlc1"
6.86528401290143e-125,2.98274062043068,0.927,0.131,1.27234308611102e-120,"0","Sox9"
4.5232748873167e-124,2.39460240796265,0.981,0.17,8.38298534866405e-120,"0","Timp3"
1.8718907026995e-123,3.09362521585231,0.855,0.099,3.46917503931299e-119,"0","Sbspon"
3.73347544908254e-123,2.62401087992934,0.976,0.242,6.91925004978467e-119,"0","Slmap"
2.80134214194945e-122,2.89839192684554,0.887,0.119,5.19172739167492e-118,"0","Metrn"
1.48002496759071e-120,3.31513035987967,0.897,0.112,2.74293027243586e-116,"0","Sox2"
1.93016798035606e-120,1.86047815940307,0.96,0.142,3.57718031799389e-116,"0","Flt1"
6.82395418765089e-119,2.00125411538777,0.992,0.418,1.26468342959734e-114,"0","Prdx1"
3.26631555126063e-118,2.66465270887647,0.96,0.178,6.05346261115133e-114,"0","Tsc22d4"
5.94027087228495e-118,2.41794791658262,0.924,0.195,1.10091040076057e-113,"0","Atp1b3"
8.08358891089667e-118,1.87970919233369,0.998,0.519,1.49813153285648e-113,"0","Cd81"
9.77957079657347e-118,2.32396364429646,0.997,0.209,1.81244785572896e-113,"0","Sparc"
3.03724436016954e-117,2.94527907498805,0.875,0.143,5.62892497270221e-113,"0","Wipi1"
3.6131798998988e-117,3.23603348139613,0.847,0.114,6.69630630848244e-113,"0","Fxyd6"
4.58755699101226e-117,1.98821033490363,1,0.476,8.50211937144302e-113,"0","Mt1"
1.24236253454052e-116,2.11626454713683,0.992,0.184,2.30247048526394e-112,"0","Vim"
1.26321193580405e-116,2.85825355466729,0.86,0.12,2.34111068062565e-112,"0","Col23a1"
8.7729619591199e-116,2.61471293307387,0.895,0.182,1.62589303988369e-111,"0","Crot"
1.72703562239251e-115,2.88564004046959,0.903,0.16,3.20071511898003e-111,"0","Utp14b"
5.5424669209378e-115,1.77601983997216,1,0.656,1.0271853944574e-110,"0","Eno1"
1.57912116216389e-114,2.88008202013078,0.861,0.117,2.92658524983833e-110,"0","Cav1"
2.50268074555886e-114,2.72374687108183,0.886,0.14,4.63821822574424e-110,"0","Htra1"
3.53730977316522e-114,2.52569184331478,0.968,0.2,6.55569620260709e-110,"0","Nfix"
3.55231457474465e-114,2.13504373704986,0.986,0.231,6.58350460137425e-110,"0","Gng5"
5.81797285299508e-113,3.00663272151951,0.825,0.094,1.07824490884558e-108,"0","Col9a1"
6.74856255289639e-113,1.84989424034391,0.999,0.64,1.25071109792829e-108,"0","Jund"
6.76135669191357e-113,2.20696712258655,0.946,0.239,1.25308223571234e-108,"0","Cnn3"
4.22094299333721e-112,2.12677059327943,0.977,0.531,7.82267364955186e-108,"0","Btg2"
7.07300757157671e-112,2.15687184952084,0.987,0.279,1.31084049324031e-107,"0","Mfge8"
8.82514855194198e-112,2.22341283254778,0.966,0.293,1.63556478113141e-107,"0","Pmepa1"
2.27296047446001e-111,2.03689505434008,0.984,0.384,4.21247764731674e-107,"0","Pfn2"
5.00065837619486e-111,2.85793074440076,0.85,0.121,9.26772016860193e-107,"0","Fbxo2"
7.43701577388987e-111,2.04237643120564,0.912,0.143,1.37830213337501e-106,"0","S100a6"
1.32004100505394e-110,2.28512143794444,0.97,0.25,2.44643199466647e-106,"0","Atp1a1"
8.77263807088464e-109,2.57363614951602,0.932,0.216,1.62583301367705e-104,"0","Sat1"
2.3773141180696e-108,2.15248208718416,0.98,0.436,4.40587625501839e-104,"0","Junb"
4.06128283563765e-108,2.80715582359664,0.885,0.123,7.52677547928725e-104,"0","Efemp1"
3.54232589418783e-106,2.45951560931013,0.911,0.154,6.5649925796983e-102,"0","Crip2"
3.59943207422662e-105,1.99244288466589,0.975,0.42,6.67082746316419e-101,"0","Fosb"
1.76165667927023e-104,2.64880214799014,0.814,0.098,3.26487832369152e-100,"0","Folr1"
2.3801373357197e-104,1.91375125438183,0.989,0.38,4.41110852428932e-100,"0","Gpm6a"
2.6619702759088e-104,2.25101233030065,0.94,0.166,4.93342951234177e-100,"0","Tmem176b"
3.38699396261154e-104,2.32825521955252,0.941,0.254,6.27711591090796e-100,"0","Rcn2"
6.12217383774591e-104,2.25837607805753,0.915,0.183,1.13462247734945e-99,"0","Zfp36"
9.78208187354984e-104,3.204307586842,0.812,0.107,1.81291323362499e-99,"0","Tox3"
1.79481243150281e-103,2.41082415205558,0.887,0.196,3.32632587930416e-99,"0","Ctnnbip1"
2.74543711494617e-102,2.54704980701162,0.868,0.148,5.08811860512974e-98,"0","Ddah2"
2.79189825743598e-102,2.05464512853544,0.874,0.142,5.1742250405061e-98,"0","S100a10"
4.019316382939e-102,3.0934164970446,0.73,0.085,7.44899905250085e-98,"0","Rrh"
4.48208160633852e-102,2.27269528020525,0.924,0.231,8.30664184102718e-98,"0","Enho"
4.55581094767362e-102,2.83382998539738,0.855,0.142,8.44328442932352e-98,"0","Sorl1"
