"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00120351944617711,0.319167126877586,0.6,0.293,1,"10","Mbd2"
0.00120662827135282,0.793173913675918,0.3,0.118,1,"10","Atpaf1"
0.00120835445172561,0.705354396182599,0.1,0.022,1,"10","Sorcs3"
0.00121074671031403,1.08636476681022,0.12,0.022,1,"10","Orai2"
0.00121568249957642,1.04782716788581,0.2,0.054,1,"10","Haus7"
0.00121568805177632,0.276915032105659,0.68,0.37,1,"10","Fam173a"
0.00122080713675333,1.08610690156605,0.26,0.105,1,"10","Akap12"
0.00122120952066749,1.55318920528988,0.14,0.025,1,"10","E330009J07Rik"
0.001221427376266,0.637896584751141,0.48,0.241,1,"10","Vegfb"
0.00122415869612865,1.20967689234856,0.16,0.036,1,"10","G0s2"
0.00123078899784089,0.383786338102673,0.58,0.311,1,"10","Cebpzos"
0.00123139696603354,0.348132902989554,0.96,0.605,1,"10","Pnrc1"
0.00124933014909491,0.25226487179364,0.74,0.427,1,"10","Aurkaip1"
0.00125044299638471,0.401517059489486,0.22,0.073,1,"10","Scyl2"
0.00125403325934924,0.495626556654358,0.34,0.156,1,"10","Snx1"
0.00125452351586963,0.512864494115098,0.16,0.06,1,"10","Parp11"
0.00125508000065014,0.348198262186161,0.52,0.275,1,"10","Tmem126a"
0.00125726824632246,0.324052226758084,0.42,0.187,1,"10","Sae1"
0.00126090714746826,0.323612652914439,0.26,0.098,1,"10","Kptn"
0.00126386948998359,0.543825075760045,0.42,0.19,1,"10","Fyn"
0.00126772888070623,0.774158036156956,0.32,0.137,1,"10","Capn15"
0.00127823904715557,0.376011777987987,0.42,0.195,1,"10","Siah1a"
0.00128099245666604,0.311671258033268,0.32,0.154,1,"10","Hnrnpll"
0.00128202215808316,0.45705576145467,0.26,0.085,1,"10","Nova2"
0.00128522275705284,0.459265476913305,0.3,0.13,1,"10","C1galt1c1"
0.00128548094798064,0.283465167896816,0.36,0.153,1,"10","Plekhm3"
0.00128607932203136,1.4840695937461,0.12,0.024,1,"10","Cyb561d1"
0.00129745607152296,1.03066652898163,0.28,0.117,1,"10","Usp11"
0.00129747146532698,0.412006116284508,0.46,0.228,1,"10","Tnrc18"
0.0013004202140505,0.305145087679073,0.48,0.275,1,"10","Acbd5"
0.00130166147753617,0.289750287477096,0.28,0.133,1,"10","Clpb"
0.00130535533128485,0.499230625060601,0.26,0.071,1,"10","Arl16"
0.00132221436350073,0.459908354019176,0.2,0.068,1,"10","Tubgcp3"
0.00132734481687024,0.409025858894086,0.92,0.612,1,"10","BC031181"
0.00133892882413377,1.21517920113716,0.16,0.049,1,"10","Rnf24"
0.00134300249639183,0.463306425720641,0.24,0.099,1,"10","Slc35c2"
0.00134533389876384,0.445750742989005,0.78,0.453,1,"10","Vps28"
0.00135446466829976,0.367363221833955,0.76,0.462,1,"10","Cuedc2"
0.00135762250288713,0.300455813998891,0.36,0.185,1,"10","Asna1"
0.00137453586024156,0.276043343595795,0.94,0.6,1,"10","Rpl31"
0.00138915346030805,0.254927748438291,0.22,0.096,1,"10","Dtnb"
0.00139199061169817,0.252974511625349,0.26,0.079,1,"10","Gm40841"
0.00139726941850617,0.272445946710098,0.36,0.165,1,"10","Vps4b"
0.00139774118858717,0.737700176568236,0.36,0.144,1,"10","Hjurp"
