"category","step","elapsed_seconds"
"core","create_seurat_and_qc_metrics",2.065
"core","normalize_lognormalize",1.572
"core","find_variable_features",2.278
"core","scale_data",0.645
"core","pca",6.311
"core","umap",8.101
"core","find_neighbors",2.414
"core","find_clusters",0.907
"markers","find_all_markers_inferred_clusters",20.728
