"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.34225799680712e-164,5.26691476296903,0.998,0.583,6.19420674548264e-160,"0","Rho"
9.49358418773301e-160,4.64259659664084,0.985,0.398,1.75944595751256e-155,"0","Pdc"
1.31447240066637e-157,5.1577633909906,0.967,0.31,2.43611170015497e-153,"0","Gnat1"
7.15286549094202e-153,4.67978302098118,0.968,0.325,1.32564056143628e-148,"0","Rp1"
3.11450504712772e-151,3.6952621850204,0.998,0.492,5.77211220384181e-147,"0","Sag"
1.37142833256292e-148,3.88822503868173,0.963,0.424,2.54166812873886e-144,"0","Prph2"
5.67624735812324e-146,4.91631660235141,0.92,0.213,1.05197892288098e-141,"0","Pde6a"
1.47272523631602e-144,5.93028865883583,0.888,0.118,2.72940168046449e-140,"0","Cnga1"
4.44560864763927e-144,3.55524040830811,0.965,0.585,8.23904650666985e-140,"0","Rom1"
2.27131785342352e-139,4.2948744116517,0.946,0.496,4.20943337774981e-135,"0","Gnb1"
1.3498165023847e-138,4.93343379940171,0.883,0.187,2.50161492386957e-134,"0","Pde6b"
1.15575380982558e-137,3.91007108724356,0.95,0.324,2.14195853574975e-133,"0","Pde6g"
2.92832497502099e-135,5.53822750455364,0.878,0.138,5.4270646762064e-131,"0","Guca1b"
2.0413304944047e-133,3.29278240769471,0.974,0.506,3.78319780528023e-129,"0","Gngt1"
4.93346842631694e-121,5.49338375567487,0.802,0.112,9.14319703449319e-117,"0","Nrl"
2.97794499882679e-111,3.52803924482881,0.904,0.264,5.51902546632569e-107,"0","Rcvrn"
3.91345579701991e-110,5.8886355976891,0.757,0.079,7.25280762861701e-106,"0","Nr2e3"
3.92621762893068e-109,2.93405045915711,0.919,0.301,7.27645913169724e-105,"0","Tulp1"
2.99935456803377e-105,2.4525795702205,0.938,0.331,5.55870382093699e-101,"0","Guca1a"
3.9426212236169e-102,5.04489627499713,0.765,0.134,7.30685991372919e-98,"0","Slc24a1"
9.26579851645284e-95,3.10260160914445,0.833,0.293,1.7172304390542e-90,"0","Cplx4"
1.40628005600896e-94,3.2163039965949,0.857,0.383,2.6062588278014e-90,"0","Rpgrip1"
5.28188273697526e-93,1.93932911706331,0.942,0.724,9.78891327643625e-89,"0","Unc119"
1.68334103845874e-86,2.99520414115771,0.82,0.418,3.11973594657559e-82,"0","Kcnb1"
1.82535711845218e-86,2.92356077039543,0.802,0.201,3.38293434762742e-82,"0","Rtbdn"
1.04148418285677e-84,3.43085379816368,0.768,0.238,1.93018263608845e-80,"0","Hk2"
1.15966349674322e-83,2.75300803814555,0.767,0.214,2.1492043585142e-79,"0","Aipl1"
1.08951562587621e-78,3.42897657622823,0.734,0.368,2.01919930943638e-74,"0","Pcmtd2"
1.13131782506146e-76,3.43125795858167,0.707,0.197,2.09667132518641e-72,"0","Rs1"
1.77753796029518e-76,4.26551999708962,0.647,0.136,3.29431110181506e-72,"0","Pex5l"
2.15085384215129e-76,3.81873253991523,0.717,0.204,3.98617742565898e-72,"0","Cngb1"
1.88076109386461e-74,5.38751117912397,0.595,0.069,3.48561453525928e-70,"0","Samd11"
7.63481017958375e-72,4.26382693952699,0.63,0.137,1.41495937058226e-67,"0","Rdh12"
1.55362166012931e-71,0.94377831419873,0.894,0.804,2.87932702271765e-67,"0","Cst3"
2.64562576630953e-71,1.73762277722475,0.888,0.851,4.90313823270146e-67,"0","Hmgn1"
2.76492552135082e-71,2.47373115194492,0.832,0.522,5.12423646871947e-67,"0","Mir124a-1hg"
4.72522716646629e-68,1.23164946439823,0.958,0.96,8.75726350761198e-64,"0","Hsp90aa1"
1.66661442005624e-65,2.87439257930257,0.749,0.473,3.08873650469023e-61,"0","Agpat3"
2.68292414770952e-65,3.23616458444642,0.676,0.199,4.97226332295005e-61,"0","Prcd"
1.02272621554863e-64,4.29303643513462,0.593,0.157,1.89541849527627e-60,"0","Reep6"
8.56470177315633e-63,2.07171566951747,0.799,0.686,1.58729617961906e-58,"0","Ldha"
8.43370154127715e-62,3.58229608271687,0.622,0.174,1.56301790664489e-57,"0","Grk1"
1.21064936187676e-59,1.86709574090492,0.907,0.871,2.2436964623662e-55,"0","Tma7"
2.59391484101205e-58,3.42147174692333,0.612,0.14,4.80730237484763e-54,"0","AI847159"
1.09397481376107e-55,2.08770531924977,0.783,0.477,2.02746352234338e-51,"0","Neurod1"
5.77549144405822e-54,2.78592856749137,0.732,0.395,1.07037182932731e-49,"0","Dmd"
3.40024025393195e-53,3.43962426701548,0.656,0.302,6.30166526261209e-49,"0","Ybx3"
3.56474069019127e-53,3.78370685550952,0.588,0.132,6.60653392113148e-49,"0","March1"
1.08158044254053e-49,1.93447834296703,0.75,0.534,2.00449303416037e-45,"0","Epb41l2"
1.814074398767e-48,3.6159188705197,0.621,0.274,3.36202408323489e-44,"0","Faim"
3.3341541756392e-47,3.28675412813831,0.585,0.182,6.17918793371213e-43,"0","Prom1"
1.01331649362503e-46,3.11701566957676,0.618,0.235,1.87797945763527e-42,"0","Fam57b"
3.48846773984959e-46,4.00685755044346,0.469,0.097,6.46517726226325e-42,"0","Nxnl2"
1.03311883254925e-45,3.22176866584165,0.557,0.194,1.91467913236353e-41,"0","Fam161a"
5.12730561823899e-45,4.38639915037892,0.4,0.078,9.50243550228232e-41,"0","Nxnl1"
