"cluster","condition","Freq"
"0","rd10",842
"1","rd10",266
"10","rd10",90
"11","rd10",64
"12","rd10",30
"2","rd10",398
"3","rd10",357
"4","rd10",44
"5","rd10",236
"6","rd10",165
"7","rd10",297
"8","rd10",55
"9","rd10",9
"0","WT",135
"1","WT",559
"10","WT",29
"11","WT",53
"2","WT",289
"3","WT",190
"4","WT",347
"5","WT",150
"6","WT",157
"7","WT",9
"8","WT",105
"9","WT",124
