"cluster","condition","Freq"
"0","rd10",530
"1","rd10",739
"10","rd10",144
"11","rd10",103
"12","rd10",81
"13","rd10",51
"2","rd10",1110
"3","rd10",697
"4","rd10",1022
"5","rd10",93
"6","rd10",503
"7","rd10",275
"8","rd10",334
"9","rd10",25
"0","WT",1142
"1","WT",574
"10","WT",89
"11","WT",36
"12","WT",18
"13","WT",1
"2","WT",63
"3","WT",375
"4","WT",26
"5","WT",700
"6","WT",264
"7","WT",415
"8","WT",345
"9","WT",245
