"cluster","condition","Freq"
"0","rd10",137
"1","rd10",291
"10","rd10",7
"11","rd10",35
"12","rd10",31
"2","rd10",199
"3","rd10",283
"4","rd10",188
"5","rd10",27
"6","rd10",123
"7","rd10",43
"8","rd10",35
"9","rd10",28
"0","WT",299
"1","WT",105
"10","WT",43
"11","WT",14
"12","WT",7
"2","WT",155
"3","WT",4
"4","WT",92
"5","WT",175
"6","WT",71
"7","WT",62
"8","WT",20
"9","WT",26
