"category","step","elapsed_seconds"
"core","create_seurat_and_qc_metrics",0.925
"core","normalize_lognormalize",0.693000000000001
"core","find_variable_features",1.193
"core","scale_data",0.343
"core","pca",2.055
"core","umap",3.401
"core","find_neighbors",0.602
"core","find_clusters",0.108000000000001
"markers","find_all_markers_inferred_clusters",4.832
