"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.35165163764831e-165,5.24263318421892,0.998,0.585,8.06491598005361e-161,"0","Rho"
4.50117870258362e-156,5.1667328396789,0.967,0.307,8.34203448949821e-152,"0","Gnat1"
1.27255290793039e-154,4.67156084892424,0.966,0.325,2.35842230426739e-150,"0","Rp1"
1.57437145605103e-154,4.62141097477727,0.982,0.401,2.91778261949937e-150,"0","Pdc"
2.85342874169554e-148,3.84180646015904,0.96,0.428,5.28825948698435e-144,"0","Prph2"
2.77184119011389e-147,3.67351255238214,0.998,0.492,5.13705327763808e-143,"0","Sag"
3.36471412345258e-142,4.87480713462048,0.914,0.214,6.23582468499466e-138,"0","Pde6a"
2.61802744639631e-139,5.83919350304511,0.876,0.121,4.85199026640628e-135,"0","Cnga1"
1.33222809902806e-135,4.24622202583924,0.938,0.501,2.4690183359287e-131,"0","Gnb1"
2.00153066075113e-135,3.51830672369324,0.961,0.589,3.70943677357006e-131,"0","Rom1"
2.9181727309884e-133,5.49141902320131,0.87,0.14,5.40824952234081e-129,"0","Guca1b"
5.75572467087339e-132,3.882001839452,0.95,0.325,1.06670845325297e-127,"0","Pde6g"
4.11258327583402e-131,4.95660429256834,0.876,0.185,7.62185058510319e-127,"0","Pde6b"
2.91885221943039e-130,3.24946940170069,0.971,0.507,5.40950881827034e-126,"0","Gngt1"
5.91698425064521e-116,5.52125757348497,0.796,0.109,1.09659469117208e-111,"0","Nrl"
7.3319857513651e-112,2.92738133773367,0.917,0.297,1.35883691930049e-107,"0","Tulp1"
1.1263578163227e-108,5.87806746232592,0.753,0.078,2.08747894099086e-104,"0","Nr2e3"
9.2371615692934e-104,3.50121267430187,0.9,0.265,1.71192315363715e-99,"0","Rcvrn"
1.61426276552682e-101,3.19374057715014,0.859,0.382,2.99171318335085e-97,"0","Rpgrip1"
4.3586556731786e-97,5.00642503564588,0.768,0.134,8.0778965591019e-93,"0","Slc24a1"
9.32250111698923e-92,2.45545749764815,0.937,0.332,1.72773913201161e-87,"0","Guca1a"
1.21893011939521e-88,3.09837210280339,0.828,0.295,2.25904319027515e-84,"0","Cplx4"
8.20359943051096e-84,2.973048084646,0.821,0.415,1.5203730824566e-79,"0","Kcnb1"
4.40974542274868e-80,1.91374811939331,0.934,0.727,8.17258119198013e-76,"0","Unc119"
2.83174342987261e-78,0.993668931473004,0.889,0.805,5.24807009858291e-74,"0","Cst3"
