"cluster","condition","Freq"
"0","rd10",375
"1","rd10",685
"10","rd10",109
"11","rd10",75
"12","rd10",64
"13","rd10",37
"2","rd10",1103
"3","rd10",527
"4","rd10",362
"5","rd10",536
"6","rd10",65
"7","rd10",178
"8","rd10",140
"9","rd10",24
"0","WT",856
"1","WT",513
"10","WT",72
"11","WT",29
"12","WT",15
"2","WT",55
"3","WT",289
"4","WT",210
"5","WT",13
"6","WT",475
"7","WT",297
"8","WT",149
"9","WT",247
