"category","step","elapsed_seconds"
"core","create_seurat_and_qc_metrics",0.909
"core","normalize_lognormalize",0.663
"core","find_variable_features",1.18
"core","scale_data",0.344
"core","pca",2.112
"core","umap",3.413
"core","find_neighbors",0.599
"core","find_clusters",0.106999999999999
"markers","find_all_markers_inferred_clusters",4.835
