Unnamed: 0,ERR5236650_f_Aligned.sortedByCoord.out.tsv,ERR5236654_f_Aligned.sortedByCoord.out.tsv,ERR5236653_f_Aligned.sortedByCoord.out.tsv,ERR5236639_f_Aligned.sortedByCoord.out.tsv,ERR5236616_m_Aligned.sortedByCoord.out.tsv,ERR5236648_m_Aligned.sortedByCoord.out.tsv,ERR5236652_m_Aligned.sortedByCoord.out.tsv
Ac025773.1,0,0,0,0,0,0,0
Ac025809.1,5,5,15,2,9,12,4
Ac025809.2,21,17,23,20,27,25,19
Ac025810.1,159,66,84,115,31,34,28
Ac025811.1,0,1,0,1,1,1,0
Ac025822.1,0,0,0,0,0,0,0
Ac025822.2,0,0,0,0,0,0,0
Ac025857.1,0,0,0,0,0,0,0
Ac025857.2,13,13,21,8,11,11,10
Ac025871.1,3,7,1,3,5,4,6
Ac025871.2,61,35,33,35,49,50,38
Ac025881.1,0,0,0,0,0,0,0
Ac025884.1,0,0,0,0,1,0,0
Ac025884.2,0,0,0,0,0,0,0
Ac025884.3,1,0,0,0,0,0,0
Ac025887.1,1,0,0,0,0,0,0
Ac025887.2,5,1,1,0,1,4,1
Ac025917.1,8,35,35,23,14,71,19
Ac025918.1,0,0,3,0,1,3,0
Ac025918.2,0,0,0,0,0,0,0
Ac025946.1,0,0,0,0,0,0,0
Ac025946.2,0,0,0,0,0,0,0
Ac025947.1,0,0,0,0,0,0,0
Ac026100.1,2,0,2,2,2,2,3
Ac026108.1,1,0,0,0,0,0,1
Ac026111.1,3,0,1,2,0,0,0
Ac026116.1,0,0,0,0,0,0,0
Ac026117.1,0,0,0,0,0,0,0
Ac026120.1,0,0,4,1,0,2,3
Ac026120.2,0,0,0,0,0,0,0
Ac026124.1,1,0,0,0,1,2,0
Ac026124.2,2,4,2,5,8,3,10
Ac026150.1,2,6,7,1,1,6,5
Ac026150.2,9,4,1,3,2,5,8
Ac026150.3,9,5,2,6,5,3,2
Ac026167.1,0,0,0,0,1,1,0
Ac026185.1,0,0,0,0,0,0,0
Ac026191.1,22,1,5,8,13,7,9
Ac026202.1,0,0,0,0,0,0,0
Ac026202.2,5,1,0,2,3,3,2
Ac026202.3,0,0,0,0,0,0,0
Ac026250.1,2,4,0,2,4,3,3
Ac026254.1,0,0,0,0,0,0,0
Ac026254.2,8,7,0,5,6,5,3
Ac026271.1,176,136,69,71,60,38,90
Ac026271.2,0,0,0,0,0,0,0
Ac026271.3,53,69,21,25,46,47,43
Ac026271.4,0,0,0,0,0,0,0
Ac026304.1,1,0,1,1,2,0,0
Ac026310.1,0,0,0,0,0,0,0
Ac026310.2,0,0,0,0,0,0,0
Ac026310.3,2,15,12,2,11,18,6
Ac026316.1,0,0,0,0,0,0,0
Ac026316.2,1,0,0,0,0,0,0
Ac026316.3,2,0,1,1,0,0,0
Ac026316.4,1,1,4,1,3,1,3
Ac026316.5,0,0,0,0,0,0,0
Ac026320.1,0,0,0,0,0,0,0
Ac026320.2,0,0,0,0,0,0,0
Ac026333.1,0,0,0,0,0,0,0
Ac026333.2,0,0,0,0,0,0,0
Ac026333.3,1,0,0,0,0,3,2
Ac026333.4,22,6,8,6,12,7,12
Ac026336.1,11,2,2,1,3,2,0
Ac026336.2,0,1,1,0,1,1,1
Ac026336.3,0,0,0,0,0,0,0
Ac026336.4,0,0,0,0,0,0,0
Ac026336.5,0,0,0,0,0,0,0
Ac026347.1,0,0,1,0,0,0,0
Ac026348.1,0,7,6,5,2,9,2
Ac026353.1,0,0,0,0,0,0,0
Ac026355.1,0,0,0,0,2,0,0
Ac026355.2,0,0,1,0,0,0,0
Ac026355.3,0,0,0,0,0,0,0
Ac026356.1,30,23,31,9,52,28,30
Ac026356.2,63,46,55,30,52,54,62
Ac026358.1,3,2,3,2,6,3,3
Ac026362.1,0,0,0,0,0,1,0
Ac026362.2,23,13,11,11,5,6,10
Ac026367.1,13,10,7,14,6,7,3
Ac026367.2,111,55,41,85,61,56,65
Ac026367.3,99,83,103,81,74,87,85
Ac026368.1,1,1,3,0,1,4,1
Ac026369.1,187,84,90,127,97,101,74
Ac026369.2,9,22,35,6,17,15,14
Ac026369.3,0,4,1,1,1,0,0
Ac026371.1,0,0,0,0,0,0,0
Ac026391.1,0,1,2,0,1,0,0
Ac026396.1,1,1,1,0,1,2,0
Ac026398.1,0,0,0,0,0,0,0
Ac026401.1,0,3,2,1,1,2,0
Ac026401.2,1,0,0,0,0,0,0
Ac026401.3,31,14,4,14,10,8,16
Ac026402.1,1,0,0,0,0,0,0
Ac026403.1,64,25,48,52,44,42,55
Ac026407.1,2,0,0,0,0,2,0
Ac026410.1,0,0,0,0,0,1,0
Ac026410.2,0,0,0,0,0,0,0
Ac026412.1,345,485,484,333,305,636,396
Ac026412.2,26,12,8,13,21,22,8
Ac026412.3,34,45,47,27,28,47,27
Ac026414.1,0,0,0,0,0,0,0
Ac026415.1,0,0,0,0,0,0,0
Ac026421.1,0,0,0,0,0,0,0
Ac026422.1,0,0,0,0,0,0,0
Ac026427.1,1,1,1,1,1,1,1
Ac026427.2,1,1,0,0,0,0,0
Ac026434.1,0,0,0,0,0,0,0
Ac026434.2,0,0,0,0,0,0,0
Ac026436.1,16,14,21,12,18,38,21
Ac026444.1,0,0,0,0,0,0,0
Ac026458.1,0,0,2,1,2,0,3
Ac026458.2,4,2,0,2,3,3,0
Ac026461.1,0,0,0,0,0,0,0
Ac026461.2,0,0,1,0,0,0,0
Ac026461.3,2,1,0,1,0,1,4
Ac026462.1,0,0,1,0,1,0,0
Ac026462.2,0,0,0,0,0,0,0
Ac026462.3,0,0,0,0,0,0,1
Ac026462.4,0,0,0,0,0,0,0
Ac026462.5,42,16,15,18,24,16,26
Ac026464.1,0,0,0,0,0,0,0
Ac026464.2,0,0,0,0,0,0,0
Ac026464.3,0,0,0,0,0,0,0
Ac026464.4,0,0,0,0,0,0,0
Ac026464.5,0,0,1,0,2,1,2
Ac026464.6,0,0,0,0,0,0,0
Ac026468.1,0,0,0,2,0,2,5
Ac026469.1,48,42,29,24,40,24,15
Ac026470.1,0,0,0,0,0,0,0
Ac026470.2,2,1,1,0,3,2,1
Ac026470.3,0,0,0,0,0,0,0
Ac026471.1,77,95,142,79,85,164,63
Ac026471.2,79,41,27,33,54,40,51
Ac026471.3,4,0,1,2,3,0,0
Ac026471.4,374,119,199,188,184,118,137
Ac026471.5,6,4,5,1,1,1,3
Ac026471.6,12,14,12,5,13,6,4
Ac026474.1,3,2,0,0,1,0,1
Ac026477.1,0,0,1,1,0,0,0
Ac026495.1,0,0,0,0,1,0,0
Ac026523.1,0,0,0,0,0,0,0
Ac026523.2,1,1,0,0,0,1,0
Ac026583.1,0,0,0,0,0,0,0
Ac026585.1,25,15,12,12,25,13,13
Ac026616.1,0,0,0,0,0,0,0
Ac026620.1,7,14,5,3,10,22,12
Ac026624.1,0,1,1,0,0,0,0
Ac026634.1,0,1,0,0,0,0,0
Ac026688.1,0,0,0,1,0,2,0
Ac026688.2,0,0,0,0,0,0,0
Ac026691.1,213,108,66,57,130,154,118
Ac026700.1,2,0,1,4,0,1,0
Ac026704.1,10,0,2,0,0,1,2
Ac026719.1,0,0,0,0,0,0,0
Ac026719.2,0,0,0,0,0,0,0
Ac026725.1,24,16,12,16,10,17,9
Ac026726.1,14,2,1,1,2,2,2
Ac026740.1,9,4,6,9,7,11,15
Ac026740.2,3,4,7,2,3,14,9
Ac026741.1,36,28,25,26,20,21,20
Ac026746.1,0,0,0,0,0,3,0
Ac026748.1,1,3,0,0,4,0,4
Ac026765.1,0,0,0,0,0,0,0
Ac026765.2,0,3,0,0,4,0,0
Ac026770.1,0,0,1,0,1,1,0
Ac026771.1,6,7,6,6,9,5,1
Ac026774.1,1,6,2,2,1,2,2
Ac026774.2,0,0,0,0,0,0,0
Ac026780.1,1,0,1,2,3,2,2
Ac026780.2,3,8,6,2,6,18,1
Ac026782.1,0,0,0,0,0,0,0
Ac026782.2,0,0,0,0,0,0,0
Ac026784.1,0,0,0,0,0,0,0
Ac026785.1,0,0,0,0,0,0,0
Ac026785.2,0,0,0,0,0,0,0
Ac026785.3,1,0,0,0,0,0,0
Ac026786.1,0,0,0,0,0,0,0
Ac026786.2,1,1,0,1,0,3,0
Ac026787.1,0,0,1,0,0,0,0
Ac026790.1,8,4,8,9,7,2,6
Ac026797.1,0,1,1,0,1,0,1
Ac026798.1,0,0,0,0,0,0,0
Ac026801.1,3,4,3,1,3,3,2
Ac026801.2,633,278,140,181,196,151,164
Ac026803.1,11,2,6,6,1,2,5
Ac026803.2,24,17,15,16,18,10,23
Ac026826.1,0,0,0,0,0,1,0
Ac026826.2,0,0,0,0,0,0,0
Ac026826.3,0,0,0,0,0,0,0
Ac026877.1,3,0,0,3,3,1,1
Ac026884.1,0,0,0,0,1,0,0
Ac026887.1,0,0,0,0,0,0,0
Ac026888.1,0,0,0,0,0,0,1
Ac026894.1,0,0,1,2,1,1,0
Ac026898.1,0,1,0,0,0,0,0
Ac026904.1,0,0,0,0,0,0,0
Ac026904.2,0,0,0,0,0,0,0
Ac026904.3,0,0,0,0,0,0,0
Ac026950.2,0,0,0,0,0,0,0
Ac026951.1,0,2,1,0,0,0,0
Ac026951.2,0,0,0,0,0,0,0
Ac026954.1,32,23,142,22,28,21,31
Ac026954.2,0,0,0,0,0,0,0
Ac026954.3,0,0,0,0,0,0,0
Ac026956.1,0,0,0,0,0,0,0
Ac026979.1,4,2,8,6,3,5,2
Ac026979.2,62,26,21,42,44,31,32
Ac026979.3,59,26,18,19,20,15,9
Ac026979.4,151,133,66,138,109,132,62
Ac026991.1,0,0,0,0,0,0,0
Ac026991.2,0,0,1,0,0,0,0
Ac026992.1,2,0,1,2,1,0,0
Ac026992.2,9,11,4,10,12,15,4
Ac027013.1,0,0,0,0,0,0,0
Ac027018.1,0,0,1,2,1,2,0
Ac027020.1,0,0,4,0,0,5,2
Ac027020.2,127,233,96,168,151,126,120
Ac027026.1,0,0,0,0,0,0,0
Ac027031.1,33,33,21,18,9,27,19
Ac027031.2,8956,3634,3315,3985,2290,1775,1965
Ac027045.1,0,0,0,0,0,0,0
Ac027045.2,1,3,6,1,0,5,0
Ac027045.3,0,8,16,2,4,5,1
Ac027088.1,0,0,0,0,0,0,0
Ac027088.2,63,43,14,30,29,10,14
Ac027088.3,0,0,0,0,1,0,0
Ac027088.4,5,8,8,2,9,10,18
Ac027097.1,36,9,9,14,17,6,11
Ac027097.2,82,42,45,25,37,37,24
Ac027104.1,14,7,21,11,3,17,27
Ac027117.1,102,122,83,74,145,127,111
Ac027117.2,11,12,12,7,7,15,8
Ac027119.1,0,0,0,0,0,0,0
Ac027124.1,0,0,0,0,0,0,0
Ac027124.2,0,0,1,0,0,0,0
Ac027130.1,1,2,3,5,2,7,2
Ac027139.1,0,0,1,0,0,0,0
Ac027139.2,1,1,0,0,2,0,0
Ac027176.1,0,0,0,0,0,0,0
Ac027176.2,1,2,5,1,1,4,1
Ac027176.3,0,0,0,0,0,0,0
Ac027216.1,0,0,0,0,0,0,0
Ac027228.1,1,1,0,0,1,1,0
Ac027228.2,58,53,30,98,40,10,28
Ac027228.3,10,5,1,1,9,8,2
Ac027229.1,0,0,1,0,0,1,0
Ac027237.1,0,0,0,0,0,0,0
Ac027237.2,9,2,7,6,8,10,5
Ac027237.3,11,6,2,3,4,3,3
Ac027237.4,0,0,1,1,0,1,0
Ac027243.1,5,12,4,16,10,7,44
Ac027243.2,6,5,8,9,1,3,11
Ac027250.1,0,0,0,0,0,0,0
Ac027271.1,45,21,14,34,18,10,17
Ac027277.1,0,0,0,0,0,0,0
Ac027277.2,0,0,0,0,0,0,3
Ac027279.1,36,7,11,21,19,3,15
Ac027279.2,4,3,1,0,2,2,2
Ac027279.3,1,0,0,0,0,0,0
Ac027279.4,0,1,0,1,0,2,0
Ac027281.1,157,91,68,106,82,52,43
Ac027281.2,1,2,2,0,1,0,1
Ac027287.1,0,0,0,0,0,0,0
Ac027287.2,60,67,77,30,49,64,41
Ac027288.1,1,0,2,1,1,0,0
Ac027288.2,0,0,0,0,0,0,0
Ac027288.3,6,9,5,12,3,4,2
Ac027290.1,0,0,0,0,0,0,0
Ac027290.2,153,168,254,181,257,985,266
Ac027307.1,18,9,8,6,12,10,10
Ac027307.2,673,376,242,261,285,236,301
Ac027307.3,28,28,28,24,23,21,22
Ac027308.1,0,0,0,0,0,0,0
Ac027309.1,0,0,0,0,0,2,0
Ac027309.2,58,40,27,14,11,5,37
Ac027309.3,0,0,0,0,0,0,0
Ac027312.1,2,0,1,0,0,1,0
Ac027313.1,0,1,0,0,0,0,0
Ac027315.1,0,0,0,0,0,0,0
Ac027319.1,0,0,0,0,0,0,0
Ac027328.1,0,0,0,0,0,0,0
Ac027329.1,0,0,0,0,0,0,0
Ac027334.1,0,0,0,0,0,0,0
Ac027335.1,0,0,0,0,0,0,0
Ac027335.2,0,0,0,0,0,0,0
Ac027338.1,5,4,2,4,4,1,5
Ac027338.2,0,0,0,0,0,0,0
Ac027343.1,0,0,0,0,0,0,0
Ac027343.2,0,0,0,0,0,0,0
Ac027343.3,0,0,0,0,0,0,0
Ac027345.1,0,0,0,0,0,0,0
Ac027348.1,44,22,8,18,20,10,15
Ac027348.2,0,0,0,0,0,0,0
Ac027369.1,0,0,0,0,0,0,0
Ac027369.2,0,0,0,0,0,0,0
Ac027369.3,0,0,0,0,0,0,0
Ac027369.4,0,0,0,0,0,0,0
Ac027369.5,0,0,0,0,0,0,0
Ac027369.6,0,0,0,0,0,0,0
Ac027373.1,34,7,9,8,17,8,11
Ac027419.1,0,0,0,0,0,0,0
Ac027419.2,0,0,0,0,0,0,0
Ac027449.1,3,6,2,2,5,2,2
Ac027451.1,0,0,0,0,0,0,0
Ac027455.1,10,5,15,8,7,3,1
Ac027458.1,1,2,0,0,1,0,0
Ac027506.1,0,0,0,0,0,0,0
Ac027514.1,2,1,2,4,2,1,1
Ac027514.2,1,10,16,6,3,27,4
Ac027541.1,0,0,0,0,0,0,0
Ac027544.1,1,2,13,4,0,4,3
Ac027544.2,1,5,10,2,2,8,2
Ac027544.3,0,1,0,0,0,0,0
Ac027559.1,9,9,10,9,8,16,23
Ac027575.1,2,0,0,2,0,0,1
Ac027575.2,31,21,6,12,17,6,9
Ac027601.1,87,61,35,57,68,65,65
Ac027601.2,9,3,2,3,5,8,9
Ac027601.3,12,9,17,18,11,2,7
Ac027601.4,0,0,0,0,0,0,0
Ac027601.5,8,19,20,14,18,24,49
Ac027607.1,12,8,12,6,13,7,15
Ac027612.1,2,0,0,0,0,0,0
Ac027612.2,0,1,0,0,2,0,0
Ac027612.3,3,1,4,2,1,1,2
Ac027612.4,0,0,0,0,0,0,0
Ac027613.1,0,0,0,0,0,0,0
Ac027627.1,0,0,0,0,0,0,0
Ac027644.1,9,5,8,6,11,15,2
Ac027644.2,9,27,66,22,9,59,18
Ac027644.3,8,2,7,1,4,6,1
Ac027644.4,0,0,2,1,1,2,2
Ac027667.1,0,1,0,0,0,1,0
Ac027673.1,0,0,0,0,0,0,0
Ac027682.1,29,17,16,11,7,15,10
Ac027682.2,0,0,0,0,0,0,0
Ac027682.3,0,0,0,0,0,0,0
Ac027682.4,135,36,38,58,43,36,48
Ac027682.5,6,8,2,6,2,3,7
Ac027682.6,397,83,116,151,164,51,98
Ac027682.7,175,114,106,81,96,102,70
Ac027688.1,0,0,0,0,0,0,0
Ac027688.2,0,0,0,0,0,0,0
Ac027698.1,0,2,1,1,0,1,0
Ac027701.1,0,0,0,0,0,0,0
Ac027702.1,6,10,6,2,7,5,4
Ac027763.1,2,6,2,3,2,5,0
Ac027763.2,20,14,6,11,21,13,10
Ac027779.1,0,0,0,0,0,0,0
Ac027796.1,13,5,4,9,4,5,9
Ac027796.2,3,7,5,6,6,9,2
Ac027796.3,6,11,7,7,8,7,12
Ac027796.4,64,55,67,71,46,92,45
Ac027796.5,8,26,48,22,17,25,17
Ac027801.1,2,0,1,0,0,1,3
Ac027801.2,5,1,1,0,0,1,1
Ac027801.3,12,4,8,4,9,5,10
Ac027801.4,1,1,2,0,2,1,0
Ac027804.1,0,1,1,0,2,0,0
Ac027807.1,4,3,3,4,2,12,0
Ac027807.2,1,0,1,0,0,0,2
Ac027808.1,0,0,0,0,0,0,0
Ac027808.2,1,4,3,2,3,3,0
Ac032011.1,17,13,5,8,12,12,8
Ac032019.1,0,0,1,3,2,0,4
Ac032019.2,0,0,0,0,0,0,0
Ac032044.1,5,17,11,11,10,17,14
Ac032044.2,6,6,9,4,2,3,4
Ac034102.1,1,6,0,2,4,2,6
Ac034102.2,0,0,0,0,0,0,0
Ac034102.3,5,6,2,1,0,4,4
Ac034102.4,0,0,0,0,0,0,0
Ac034102.5,31,6,6,6,7,7,11
Ac034102.6,3,10,31,6,14,41,27
Ac034102.7,1,1,0,1,0,0,0
Ac034102.8,23,8,10,9,11,4,4
Ac034105.1,0,0,0,0,0,0,0
Ac034105.2,0,0,0,0,0,0,0
Ac034105.3,0,0,0,0,0,0,0
Ac034105.4,0,0,0,0,0,0,0
Ac034105.5,0,0,0,0,0,0,0
Ac034111.1,18,12,13,4,9,20,7
Ac034114.1,0,0,0,0,0,0,0
Ac034114.2,2,1,2,1,1,1,1
Ac034154.1,1,2,2,2,1,1,1
Ac034159.1,0,0,0,0,0,0,0
Ac034187.1,0,0,0,0,0,0,0
Ac034195.1,3,5,3,5,1,3,5
Ac034198.1,0,0,0,0,0,0,0
Ac034198.2,29,16,13,19,15,15,23
Ac034199.1,0,0,0,0,0,0,0
Ac034205.1,0,0,0,0,0,0,0
Ac034205.2,0,0,0,0,0,0,0
Ac034205.3,0,0,0,0,0,0,0
Ac034206.1,0,0,0,0,0,0,0
Ac034207.1,0,0,0,0,0,0,0
Ac034213.1,0,0,0,1,1,1,0
Ac034222.1,0,0,0,0,0,0,0
Ac034223.1,0,0,0,0,0,0,0
Ac034223.2,0,0,0,0,0,0,0
Ac034226.1,0,0,0,0,0,0,0
Ac034228.1,25,11,4,12,29,14,4
Ac034228.2,3,4,2,3,2,3,0
Ac034228.3,5,7,10,1,1,6,6
Ac034229.1,3,0,3,0,2,1,0
Ac034229.2,2,0,0,0,0,0,0
Ac034229.3,0,0,0,0,0,0,0
Ac034229.4,53,18,12,34,20,21,17
Ac034229.5,0,0,0,0,0,0,1
Ac034229.6,0,0,0,0,1,0,1
Ac034231.1,10,21,20,13,15,26,7
Ac034232.1,0,0,0,0,0,1,0
Ac034232.2,0,2,0,0,1,0,0
Ac034234.1,0,0,0,0,0,0,0
Ac034236.1,69,38,22,36,37,27,35
Ac034236.2,498,167,198,200,208,172,153
Ac034236.3,7,6,1,6,7,4,2
Ac034238.1,0,0,0,0,0,0,0
Ac034238.2,0,0,0,0,0,0,0
Ac034238.3,0,0,0,0,0,0,0
Ac034243.1,5,2,1,8,4,1,3
Ac034244.1,0,0,0,0,0,0,0
Ac034244.2,0,0,0,0,0,0,0
Ac034245.1,0,0,0,0,0,0,0
Ac034268.1,0,0,0,0,0,0,0
Ac034268.2,1,0,0,0,1,0,0
Ac035139.1,0,0,1,1,0,2,1
Ac035140.1,6,11,10,5,9,8,5
Ac036101.1,0,0,0,0,0,0,0
Ac036103.1,2,11,15,4,4,16,6
Ac036108.1,2,4,19,3,2,11,2
Ac036108.2,2,1,8,1,3,9,1
Ac036108.3,54,60,50,95,54,49,31
Ac036111.1,74,43,9,10,45,52,17
Ac036111.2,0,0,0,0,0,0,0
Ac036111.3,0,1,0,0,0,0,0
Ac036164.1,0,2,0,2,0,1,1
Ac036176.1,164,61,41,63,51,33,37
Ac036176.2,1,2,0,1,1,1,0
Ac036176.3,0,0,0,0,0,0,0
Ac036214.1,8,1,8,0,4,3,4
Ac036214.2,16,12,6,4,16,15,22
Ac036214.3,0,0,0,0,0,0,0
Ac036214.4,10,4,3,4,4,6,7
Ac036222.1,2,0,0,1,1,0,0
Ac036222.2,0,0,0,0,0,0,0
Ac037198.1,1,0,0,2,0,1,1
Ac037198.2,0,0,0,0,0,0,0
Ac037441.1,2,1,2,1,0,2,0
Ac037441.2,0,0,1,0,0,0,0
Ac037450.1,0,0,0,0,0,0,0
Ac037459.1,0,0,1,1,0,0,0
Ac037459.2,234,282,183,280,254,250,239
Ac037459.3,59,80,118,90,66,127,151
Ac037459.4,0,0,0,0,0,0,0
Ac037471.1,0,0,0,0,0,0,0
Ac037471.2,0,0,0,0,0,0,0
Ac037479.1,0,0,0,0,0,0,0
Ac037486.1,0,0,0,0,0,0,0
Ac037487.1,2,0,5,3,7,9,3
Ac037487.2,3,3,1,0,0,1,0
Ac037487.3,7,5,2,1,7,8,6
Ac037487.4,0,0,0,1,0,0,1
Ac039056.1,0,0,1,0,0,0,0
Ac039056.2,13,9,19,3,11,2,8
Ac040160.1,81,122,107,101,110,105,79
Ac040160.2,38,26,13,14,32,9,20
Ac040162.1,64,54,38,68,50,42,50
Ac040162.2,0,0,0,0,0,0,0
Ac040162.3,148,72,93,88,86,78,101
Ac040168.1,0,0,0,0,0,0,0
Ac040169.1,78,42,40,37,35,41,54
Ac040169.2,8,5,11,6,3,1,2
Ac040169.3,33,40,70,55,9,11,20
Ac040169.4,2,0,3,1,2,0,0
Ac040173.1,12,6,9,5,8,2,2
Ac040174.1,1,1,1,2,10,9,2
Ac040174.2,2,0,2,0,1,0,1
Ac040896.1,6,7,2,1,3,4,5
Ac040904.1,1,0,0,0,1,1,0
Ac040914.1,1,0,0,0,0,1,0
Ac040918.1,1,1,0,0,0,0,0
Ac040926.1,0,0,0,0,0,0,0
Ac040934.1,32,32,17,13,17,10,11
Ac040936.1,0,0,1,0,0,0,0
Ac040958.1,0,0,0,0,0,0,0
Ac040963.1,0,0,0,0,0,0,0
Ac040970.1,12,6,5,3,4,4,4
Ac040975.1,1,2,0,0,0,3,0
Ac040977.1,182,57,69,70,65,36,69
Ac040977.2,0,0,0,0,0,0,0
Ac040978.1,0,1,0,1,2,1,2
Ac041039.1,0,0,0,0,0,0,0
Ac041040.1,0,0,0,0,0,0,0
Ac044781.1,1,2,9,2,1,2,3
Ac044784.1,0,0,0,0,0,0,0
Ac044784.2,0,0,0,0,0,0,0
Ac044787.1,18,3,4,3,2,4,3
Ac044792.1,0,0,0,0,0,0,0
Ac044798.1,0,0,0,0,0,0,0
Ac044798.2,0,0,0,0,0,0,0
Ac044802.1,8,5,7,8,5,5,5
Ac044802.2,16,4,5,7,8,6,3
Ac044810.1,4,3,1,0,0,0,0
Ac044810.2,104,141,95,29,54,117,166
Ac044810.3,0,0,0,0,0,0,0
Ac044836.1,0,0,0,0,0,0,0
Ac044839.1,0,0,0,0,1,0,0
Ac044839.2,1,0,0,0,0,2,0
Ac044839.3,0,0,0,0,0,0,0
Ac044839.4,0,0,0,0,0,0,0
Ac044840.1,9,9,12,4,5,4,11
Ac044849.1,5,2,4,3,2,6,10
Ac044860.1,3,7,5,12,3,11,11
Ac044860.2,3,2,0,1,1,0,2
Ac044860.3,0,0,0,0,0,0,0
Ac044873.1,0,0,0,0,0,0,0
Ac044913.1,0,0,0,0,0,0,0
Ac046130.1,0,0,0,0,0,0,0
Ac046130.2,1,3,3,1,0,3,1
Ac046134.1,3,4,11,2,3,10,5
Ac046136.1,3,4,0,2,2,1,0
Ac046143.1,9,10,7,7,18,16,14
Ac046143.2,6,3,4,3,6,4,5
Ac046144.1,0,1,0,0,0,0,0
Ac046158.1,0,0,0,2,0,0,1
Ac046158.2,1,0,0,0,1,1,1
Ac046158.3,1,2,3,2,0,1,0
Ac046158.4,0,2,0,0,1,1,3
Ac046168.1,26,27,14,21,21,11,13
Ac046168.2,19,8,3,1,6,3,4
Ac046176.1,19,12,15,13,19,11,22
Ac046185.1,0,0,0,0,0,0,0
Ac046185.2,59,48,13,37,39,44,39
Ac046185.3,15,12,10,11,18,13,10
Ac046195.1,17,11,9,6,17,18,5
Ac046195.2,0,0,0,0,0,0,0
Ac048334.1,0,0,0,0,0,0,0
Ac048337.1,0,0,0,2,0,0,0
Ac048338.1,0,0,0,0,0,0,0
Ac048341.1,242,233,172,165,306,261,325
Ac048341.2,119,31,32,44,44,45,41
Ac048344.1,0,0,0,0,1,0,0
Ac048344.2,0,0,0,0,0,0,0
Ac048344.3,0,0,0,0,0,0,0
Ac048344.4,9,8,6,3,8,4,4
Ac048346.1,0,0,0,0,0,0,0
Ac048347.1,0,0,0,0,0,0,0
Ac048351.1,26,21,3,8,8,3,2
Ac048380.1,0,1,0,0,0,1,0
Ac048380.2,31,16,19,43,38,3,16
Ac048380.3,0,0,0,0,0,1,0
Ac048382.1,11,12,7,7,10,11,11
Ac048382.2,2,4,11,3,4,6,5
Ac048382.3,0,0,0,0,0,0,0
Ac048382.4,0,0,0,0,0,0,0
Ac048382.5,95,53,67,51,68,45,75
Ac048382.6,0,0,0,0,0,0,0
Ac048383.1,0,0,0,0,0,1,0
Ac048387.1,5,2,0,1,1,1,3
Ac051618.1,0,1,0,0,1,0,0
Ac051619.1,0,0,0,1,0,0,0
Ac051619.10,2,2,0,0,3,4,0
Ac051619.2,0,0,1,0,0,0,0
Ac051619.3,0,2,0,2,2,1,1
Ac051619.4,1,3,1,1,1,0,3
Ac051619.5,40,35,36,7,31,19,14
Ac051619.6,0,0,0,0,0,0,0
Ac051619.7,6,6,1,0,3,1,3
Ac051619.8,4,3,2,2,3,1,3
Ac051619.9,0,0,0,0,0,0,0
Ac051649.1,0,0,0,0,0,0,0
Ac053481.1,0,0,0,0,0,0,0
Ac053481.2,0,0,0,0,0,0,0
Ac053481.3,0,0,0,0,0,1,1
Ac053481.4,0,0,0,0,0,0,0
Ac053503.1,38,29,29,13,30,18,32
Ac053503.2,21,12,7,10,11,7,6
Ac053503.3,0,0,0,0,0,1,1
Ac053503.4,0,0,0,0,0,0,0
Ac053503.5,0,0,2,0,1,3,2
Ac053503.6,1,0,0,0,0,0,0
Ac053513.1,4,13,19,9,2,39,9
Ac053527.1,26,11,31,4,22,21,16
Ac055713.1,384,208,211,180,209,185,207
Ac055716.1,0,0,0,0,0,0,0
Ac055716.2,0,2,2,0,1,2,1
Ac055716.3,0,0,0,0,0,0,0
Ac055717.1,1,0,2,0,1,0,0
Ac055717.2,1,0,0,0,0,0,0
Ac055717.3,2,0,1,0,1,0,2
Ac055720.1,0,0,0,0,0,0,0
Ac055720.2,44,16,19,23,25,14,20
Ac055731.1,0,0,0,0,0,0,0
Ac055733.1,12,17,2,10,18,12,10
Ac055733.2,2214,615,625,617,531,234,738
Ac055733.3,8,4,3,2,11,2,3
Ac055733.4,3,0,2,0,0,1,3
Ac055736.1,0,0,0,0,0,0,0
Ac055748.1,0,0,0,0,0,0,0
Ac055753.1,0,0,0,0,0,0,0
Ac055758.1,3,2,1,0,3,0,2
Ac055758.2,3,3,4,0,1,4,1
Ac055764.1,1,0,2,0,0,1,2
Ac055764.2,18,6,3,13,8,5,11
Ac055811.1,5,14,17,6,2,21,2
Ac055811.2,9,11,22,13,16,17,7
Ac055811.3,2,2,5,3,3,5,5
Ac055811.4,44,136,186,77,156,478,116
Ac055813.1,1,2,1,1,2,3,3
Ac055822.1,33,14,13,19,12,9,10
Ac055839.1,0,0,0,0,0,0,0
Ac055854.1,2,0,0,0,1,1,0
Ac055855.1,33,30,30,23,34,36,40
Ac055855.2,11,6,6,4,5,6,2
Ac055860.1,0,0,0,0,0,0,0
Ac055872.1,2,2,1,1,0,2,0
Ac055872.2,0,0,0,0,0,1,0
Ac055874.1,0,0,0,0,3,0,0
Ac055876.1,0,0,1,0,1,1,1
Ac055876.2,11,8,4,8,5,12,11
Ac055876.3,1,1,0,0,0,0,0
Ac055876.4,34,11,12,29,9,9,11
Ac055876.5,0,0,0,0,0,0,0
Ac055878.1,0,0,0,0,0,0,0
