Unnamed: 0,ERR5236650_f_Aligned.sortedByCoord.out.tsv,ERR5236654_f_Aligned.sortedByCoord.out.tsv,ERR5236653_f_Aligned.sortedByCoord.out.tsv,ERR5236639_f_Aligned.sortedByCoord.out.tsv,ERR5236616_m_Aligned.sortedByCoord.out.tsv,ERR5236648_m_Aligned.sortedByCoord.out.tsv,ERR5236652_m_Aligned.sortedByCoord.out.tsv
Abhd5,546,629,450,351,449,521,536
Abhd6,667,797,485,527,581,503,424
Abhd8,2920,1652,1148,1523,1190,947,1337
Abi1,1160,1175,1041,1002,1344,1343,1149
Abi1p1,1,1,2,0,1,0,0
Abi2,3308,3332,3771,2723,2806,3674,2802
Abi3,54,43,31,43,44,54,31
Abi3bp,1957,2385,3181,2922,4108,5740,3831
Abl1,1821,2054,2182,2086,1843,2393,4720
Abl2,2010,1467,1327,1115,1124,1689,1344
Ablim1,11561,12795,15245,9041,9024,12839,8702
Ablim2,1382,1014,1312,950,1177,911,1149
Ablim3,5898,3848,2377,2694,3193,2331,2681
Abo,50,51,35,26,46,81,24
Abr,6412,5533,7951,5621,4945,5492,6474
Abra,8,9,2,5,2,2,2
Abracl,126,74,77,132,82,80,70
Abraxas1,121,124,96,82,82,150,103
Abraxas2,402,344,276,272,274,290,281
Abt1,790,611,296,484,497,367,641
Abt1p1,0,0,0,0,0,0,0
Abtb1,5826,3344,2743,3194,2997,3444,3274
Abtb2,509,487,585,603,644,579,779
Ac000032.1,7,0,0,0,0,0,0
Ac000035.1,1,0,0,0,0,0,0
Ac000036.1,2,0,0,2,2,0,1
Ac000041.1,0,0,0,0,0,0,0
Ac000058.1,0,1,0,0,1,1,0
Ac000061.1,0,0,0,0,0,0,0
Ac000067.1,0,0,0,0,0,0,0
Ac000068.1,46,53,71,31,48,36,35
Ac000068.2,63,8,18,12,19,12,9
Ac000068.3,0,0,0,0,0,0,0
Ac000077.1,0,0,0,0,0,0,0
Ac000078.1,3,12,8,10,6,20,8
Ac000081.1,0,0,0,0,0,0,1
Ac000089.1,1,2,2,4,2,4,1
Ac000095.1,0,0,0,0,0,0,0
Ac000095.2,0,0,0,0,0,0,0
Ac000099.1,0,0,0,0,0,0,0
Ac000111.1,0,0,0,0,0,0,0
Ac000111.2,0,0,0,0,0,0,0
Ac000120.1,3,33,23,15,15,62,13
Ac000120.2,0,0,0,0,0,0,0
Ac000120.3,0,0,0,0,0,0,0
Ac000123.1,13,17,18,12,21,21,11
Ac000123.2,8,6,13,5,5,12,2
Ac000123.3,23,50,34,37,28,53,20
Ac000124.1,475,296,163,184,202,157,171
Ac000362.1,0,0,0,0,0,0,0
Ac000367.1,0,1,0,0,0,0,0
Ac000372.1,0,1,0,0,0,1,0
Ac000374.1,0,0,0,0,0,0,0
Ac000403.1,19,22,20,10,17,10,6
Ac001226.1,10,7,2,5,4,2,6
Ac001226.2,9,12,22,14,10,18,11
Ac002044.1,1,0,0,3,0,0,0
Ac002044.2,3,1,2,1,1,0,4
Ac002044.3,1,0,0,0,1,1,1
Ac002056.1,3,5,2,1,1,3,1
Ac002056.2,0,0,0,0,1,0,1
Ac002059.1,119,58,47,64,64,35,70
